Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ThoraxClavicula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ClaviculaScapula[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[0],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[1],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.ScapulaHumerus[2],Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.HumerusUlna,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.UlnaRadius,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.RadiusWrist,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_RightArm.WristHand
  1.050000000000000e+00,  1.069591865599598e-03, -3.957906984333550e-01,  2.063557163664908e-01,  9.255042466991870e-02,  8.034621363630731e-01,  1.077573071875328e-01, -1.789372885698422e-01,  4.830182745223712e-01,  5.204056200666568e-01,  1.047197556609303e+00, -2.579559877208064e-04,  1.110223024625157e-16,  3.345041854618812e-09
  1.060000000000000e+00,  1.069591865599822e-03, -3.957906984333563e-01,  2.063557163664906e-01,  9.255042466991713e-02,  8.034621363630725e-01,  1.077573071875319e-01, -1.789372881112513e-01,  4.830182728514624e-01,  5.204056201838206e-01,  1.047197556609304e+00, -2.579559793645027e-04, -1.332267629550188e-15,  3.280480220801962e-09
  1.070000000000000e+00,  1.069591865602509e-03, -3.957906984333555e-01,  2.063557163664910e-01,  9.255042466991627e-02,  8.034621363630747e-01,  1.077573071875326e-01, -1.789372808411070e-01,  4.830182463624582e-01,  5.204056220411531e-01,  1.047197556609305e+00, -2.579559986247068e-04, -5.995204332975843e-15,  3.213255328482489e-09
  1.080000000000000e+00,  1.069591863892485e-03, -3.957906984341154e-01,  2.063557163651684e-01,  9.255042466802639e-02,  8.034621363632206e-01,  1.077573071879576e-01, -1.789372861748430e-01,  4.830182658037057e-01,  5.204056206801938e-01,  1.047197556608691e+00, -2.579559894391351e-04, -1.454392162258955e-14,  4.043312018531253e-09
  1.090000000000000e+00,  1.069591862279362e-03, -3.957906984323110e-01,  2.063557163662127e-01,  9.255042466361646e-02,  8.034621363609455e-01,  1.077573071820251e-01, -1.789372852500226e-01,  4.830182624496822e-01,  5.204056209199320e-01,  1.047197556608424e+00, -2.579559918464386e-04,  1.588063014423824e-12,  4.586102664294598e-09
  1.100000000000000e+00,  1.069591865602061e-03, -3.957906984333546e-01,  2.063557163664904e-01,  9.255042466991639e-02,  8.034621363630738e-01,  1.077573071875329e-01, -1.789372875953652e-01,  4.830182709718133e-01,  5.204056203156404e-01,  1.047197556609305e+00, -2.579559822311597e-04, -1.032507412901396e-14,  5.544688319591984e-09
  1.110000000000000e+00,  1.069591865601725e-03, -3.957906984333565e-01,  2.063557163664919e-01,  9.255042466991679e-02,  8.034621363630736e-01,  1.077573071875309e-01, -1.789372875764548e-01,  4.830182709028830e-01,  5.204056203204502e-01,  1.047197556609303e+00, -2.579559874782496e-04, -1.032507412901396e-14,  5.497154731415322e-09
  1.120000000000000e+00,  1.069591865595568e-03, -3.957906984333557e-01,  2.063557163664881e-01,  9.255042466991975e-02,  8.034621363630736e-01,  1.077573071875314e-01, -1.789372875492135e-01,  4.830182708037132e-01,  5.204056203274041e-01,  1.047197556609306e+00, -2.579559764427165e-04,  8.659739592076221e-15,  5.460282170854924e-09
  1.130000000000000e+00,  1.069591865596351e-03, -3.957906984333558e-01,  2.063557163664879e-01,  9.255042466991961e-02,  8.034621363630752e-01,  1.077573071875317e-01, -1.789372848042175e-01,  4.830182608022259e-01,  5.204056210287005e-01,  1.047197556609309e+00, -2.579559832591811e-04,  5.107025913275721e-15,  5.427396310153654e-09
  1.140000000000000e+00,  1.069591865600269e-03, -3.957906984333549e-01,  2.063557163664823e-01,  9.255042466991126e-02,  8.034621363630741e-01,  1.077573071875300e-01, -1.789372847814686e-01,  4.830182607194585e-01,  5.204056210344992e-01,  1.047197556609331e+00, -2.579559854344205e-04, -5.551115123125783e-16,  5.397793712003107e-09
